Algorytm,Poziom_trudnosci,Czas_ms,Odwiedzone_stany,Przetworzone_stany,Max_glebokosc
BFS,1,0.01,2,1,1
DFS,1,0.009,4,2,1
A* (Manh),1,0.035,4,2,1
A* (Hamm),1,0.017,4,2,1
BFS,1,0.008,2,1,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.033,4,2,1
A* (Hamm),1,0.015,4,2,1
BFS,1,0.008,2,1,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.033,4,2,1
A* (Hamm),1,0.055,4,2,1
BFS,1,0.026,2,1,1
DFS,1,0.025,4,2,1
A* (Manh),1,0.03,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.009,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.029,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.006,2,1,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.028,4,2,1
A* (Hamm),1,0.012,4,2,1
BFS,1,0.008,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.028,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.007,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.05,4,2,1
A* (Hamm),1,0.013,4,2,1
BFS,1,0.009,2,1,1
DFS,1,0.008,4,2,1
A* (Manh),1,0.031,4,2,1
A* (Hamm),1,0.014,4,2,1
BFS,1,0.009,2,1,1
DFS,1,0.009,4,2,1
A* (Manh),1,0.031,4,2,1
A* (Hamm),1,0.014,4,2,1
BFS,1,0.007,2,1,1
DFS,1,0.007,4,2,1
A* (Manh),1,0.033,4,2,1
A* (Hamm),1,0.014,4,2,1
BFS,1,0.01,2,1,1
DFS,1,0.01,4,2,1
A* (Manh),1,0.034,4,2,1
A* (Hamm),1,0.016,4,2,1
BFS,1,0.011,2,1,1
DFS,1,0.01,4,2,1
A* (Manh),1,0.068,4,2,1
A* (Hamm),1,0.033,4,2,1
BFS,2,0.004,1,1,0
DFS,2,0.004,1,1,0
A* (Manh),2,0.01,1,1,0
A* (Hamm),2,0.005,1,1,0
BFS,2,0.059,8,3,2
DFS,2,666.63,250659,250649,20
A* (Manh),2,0.241,7,3,2
A* (Hamm),2,0.032,7,3,2
BFS,2,0.016,6,2,2
DFS,2,0.014,7,3,2
A* (Manh),2,0.049,7,3,2
A* (Hamm),2,0.023,7,3,2
BFS,2,0.011,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.002,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.012,6,2,2
DFS,2,0.012,7,3,2
A* (Manh),2,0.047,7,3,2
A* (Hamm),2,0.021,7,3,2
BFS,2,0.01,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.01,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.002,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.012,6,2,2
DFS,2,0.012,7,3,2
A* (Manh),2,0.065,7,3,2
A* (Hamm),2,0.023,7,3,2
BFS,2,0.011,6,2,2
DFS,2,0.012,7,3,2
A* (Manh),2,0.046,7,3,2
A* (Hamm),2,0.021,7,3,2
BFS,2,0.01,5,2,2
DFS,2,0.01,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.011,6,2,2
DFS,2,0.011,7,3,2
A* (Manh),2,0.046,7,3,2
A* (Hamm),2,0.021,7,3,2
BFS,2,0.01,5,2,2
DFS,2,0.01,6,3,2
A* (Manh),2,0.04,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.01,5,2,2
DFS,2,0.01,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.015,8,3,2
DFS,2,583.895,250659,250649,20
A* (Manh),2,0.241,7,3,2
A* (Hamm),2,0.03,7,3,2
BFS,2,0.014,5,2,2
DFS,2,0.013,6,3,2
A* (Manh),2,0.049,6,3,2
A* (Hamm),2,0.023,6,3,2
BFS,2,0.017,8,3,2
DFS,2,564.426,250659,250649,20
A* (Manh),2,0.227,7,3,2
A* (Hamm),2,0.031,7,3,2
BFS,2,0.015,6,2,2
DFS,2,0.014,7,3,2
A* (Manh),2,0.048,7,3,2
A* (Hamm),2,0.022,7,3,2
BFS,2,0.002,1,1,0
DFS,2,0.003,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.01,1,1,0
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.012,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.042,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.011,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.011,6,2,2
DFS,2,0.011,7,3,2
A* (Manh),2,0.046,7,3,2
A* (Hamm),2,0.022,7,3,2
BFS,2,0.015,8,3,2
DFS,2,569.607,250659,250649,20
A* (Manh),2,0.27,7,3,2
A* (Hamm),2,0.033,7,3,2
BFS,2,0.003,1,1,0
DFS,2,0.004,1,1,0
A* (Manh),2,0.01,1,1,0
A* (Hamm),2,0.004,1,1,0
BFS,2,0.002,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.015,5,2,2
DFS,2,0.013,6,3,2
A* (Manh),2,0.044,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.011,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.012,6,2,2
DFS,2,0.012,7,3,2
A* (Manh),2,0.046,7,3,2
A* (Hamm),2,0.021,7,3,2
BFS,2,0.01,5,2,2
DFS,2,0.01,6,3,2
A* (Manh),2,0.04,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.011,6,2,2
DFS,2,0.011,7,3,2
A* (Manh),2,0.083,7,3,2
A* (Hamm),2,0.037,7,3,2
BFS,2,0.015,8,3,2
DFS,2,576.834,250659,250649,20
A* (Manh),2,0.283,7,3,2
A* (Hamm),2,0.031,7,3,2
BFS,2,0.014,5,2,2
DFS,2,0.013,6,3,2
A* (Manh),2,0.043,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.011,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.012,6,2,2
DFS,2,0.012,7,3,2
A* (Manh),2,0.047,7,3,2
A* (Hamm),2,0.022,7,3,2
BFS,2,0.002,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.011,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.01,5,2,2
DFS,2,0.011,6,3,2
A* (Manh),2,0.041,6,3,2
A* (Hamm),2,0.019,6,3,2
BFS,2,0.01,5,2,2
DFS,2,0.01,6,3,2
A* (Manh),2,0.072,6,3,2
A* (Hamm),2,0.034,6,3,2
BFS,2,0.001,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.007,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.016,8,3,2
DFS,2,647.085,250659,250649,20
A* (Manh),2,0.357,7,3,2
A* (Hamm),2,0.032,7,3,2
BFS,2,0.002,1,1,0
DFS,2,0.004,1,1,0
A* (Manh),2,0.009,1,1,0
A* (Hamm),2,0.004,1,1,0
BFS,2,0.014,5,2,2
DFS,2,0.012,6,3,2
A* (Manh),2,0.043,6,3,2
A* (Hamm),2,0.02,6,3,2
BFS,2,0.002,1,1,0
DFS,2,0.003,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.004,1,1,0
BFS,2,0.017,8,3,2
DFS,2,670.118,250659,250649,20
A* (Manh),2,0.371,7,3,2
A* (Hamm),2,0.032,7,3,2
BFS,2,0.002,1,1,0
DFS,2,0.004,1,1,0
A* (Manh),2,0.009,1,1,0
A* (Hamm),2,0.004,1,1,0
BFS,2,0.015,6,2,2
DFS,2,0.013,7,3,2
A* (Manh),2,0.048,7,3,2
A* (Hamm),2,0.022,7,3,2
BFS,2,0.002,1,1,0
DFS,2,0.002,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.003,1,1,0
BFS,2,0.016,8,3,2
DFS,2,718.015,250659,250649,20
A* (Manh),2,0.258,7,3,2
A* (Hamm),2,0.035,7,3,2
BFS,2,0.015,5,2,2
DFS,2,0.014,6,3,2
A* (Manh),2,0.045,6,3,2
A* (Hamm),2,0.021,6,3,2
BFS,2,0.002,1,1,0
DFS,2,0.003,1,1,0
A* (Manh),2,0.008,1,1,0
A* (Hamm),2,0.004,1,1,0
BFS,3,0.007,2,1,1
DFS,3,0.007,4,2,1
A* (Manh),3,0.416,4,2,1
A* (Hamm),3,0.013,4,2,1
BFS,3,0.006,2,1,1
DFS,3,0.007,4,2,1
A* (Manh),3,0.027,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.028,13,6,3
DFS,3,104.979,38628,38614,20
A* (Manh),3,0.333,9,4,3
A* (Hamm),3,0.04,9,4,3
BFS,3,0.009,2,1,1
DFS,3,0.009,4,2,1
A* (Manh),3,0.029,4,2,1
A* (Hamm),3,0.013,4,2,1
BFS,3,0.006,2,1,1
DFS,3,0.007,4,2,1
A* (Manh),3,0.027,4,2,1
A* (Hamm),3,0.015,4,2,1
BFS,3,0.006,2,1,1
DFS,3,0.006,4,2,1
A* (Manh),3,0.027,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.006,2,1,1
DFS,3,0.006,4,2,1
A* (Manh),3,0.026,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.006,2,1,1
DFS,3,0.006,4,2,1
A* (Manh),3,0.027,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.043,23,9,3
DFS,3,767.555,301331,301309,20
A* (Manh),3,0.312,9,4,3
A* (Hamm),3,0.046,9,4,3
BFS,3,0.015,2,1,1
DFS,3,0.019,4,2,1
A* (Manh),3,0.053,4,2,1
A* (Hamm),3,0.021,4,2,1
BFS,3,0.011,2,1,1
DFS,3,0.024,4,2,1
A* (Manh),3,0.083,4,2,1
A* (Hamm),3,0.033,4,2,1
BFS,3,0.008,2,1,1
DFS,3,0.024,4,2,1
A* (Manh),3,0.027,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.007,2,1,1
DFS,3,0.007,4,2,1
A* (Manh),3,0.028,4,2,1
A* (Hamm),3,0.012,4,2,1
BFS,3,0.036,19,8,3
DFS,3,1012.41,385540,385522,20
A* (Manh),3,0.312,10,4,3
A* (Hamm),3,0.041,10,4,3
BFS,3,0.009,2,1,1
DFS,3,0.009,4,2,1
A* (Manh),3,0.029,4,2,1
A* (Hamm),3,0.013,4,2,1
BFS,3,0.027,13,6,3
DFS,3,88.087,38628,38614,20
A* (Manh),3,0.15,9,4,3
A* (Hamm),3,0.036,9,4,3
BFS,3,0.029,13,6,3
DFS,3,95.051,38628,38614,20
A* (Manh),3,0.097,9,4,3
A* (Hamm),3,0.035,9,4,3
BFS,3,0.024,8,4,3
DFS,3,0.045,7,4,3
A* (Manh),3,0.07,7,4,3
A* (Hamm),3,0.025,7,4,3
